,sna,tot
10,YouBike2.0_辛亥路一段30號前,8
11,YouBike2.0_和平復興路口西北側,9
14,YouBike2.0_羅斯福路三段245號前,8
15,YouBike2.0_溫州公園,5
17,YouBike2.0_溫州停車場,5
18,YouBike2.0_銘傳國小側門,7
55,YouBike2.0_和平泰順街口,9
189,YouBike2.0_朝陽公園,10
305,YouBike2.0_至誠雨聲街口,9
317,YouBike2.0_士林區農會社子分部,8
319,YouBike2.0_文林路101巷口,7
394,YouBike2.0_海巡署(南側),10
400,YouBike2.0_政大水岸電梯,10
405,YouBike2.0_景興國中,10
501,YouBike2.0_仁愛金山路口,9
573,YouBike2.0_南京林森路口(東南側),10
593,YouBike2.0_松江路77巷口,10
611,YouBike2.0_復興北路514巷口東側,10
613,YouBike2.0_植福樂群路口,10
625,YouBike2.0_長春吉林路口,10
628,YouBike2.0_南京一江街口,10
678,YouBike2.0_東湖路113巷95弄,10
701,YouBike2.0_新明路343號,10
726,YouBike2.0_捷運內湖站(2號出口),10
731,YouBike2.0_內溝溪生態展示館,8
748,YouBike2.0_東湖一號公園,10
753,YouBike2.0_舊宗行善路口,9
781,YouBike2.0_安湖公園,8
1141,YouBike2.0_福德國小公車站,10
1152,YouBike2.0_松仁松平路口,10
1161,YouBike2.0_萬大路486巷口,10
1172,YouBike2.0_莒光立體停車場,10
1207,YouBike2.0_德昌街10巷口,10
1225,YouBike2.0_萬大路493巷,10
1231,YouBike2.0_臺大檔案展示館,10
1246,YouBike2.0_臺大農化新館西側,10
1255,YouBike2.0_臺大二號館,10
1259,YouBike2.0_臺大思亮館東南側,10
1267,YouBike2.0_臺大森林館北側,10
1269,YouBike2.0_臺大小小福西南側,10
1271,YouBike2.0_臺大四號館東北側,10
1273,YouBike2.0_臺大鄭江樓北側,10
